UPC	Description	Categories (self defined)	Department	Price	Categories (self defined)	Category Ave Price 
00002146632043	BAKERY CRAFT CANDLES	BAKERY	BAKERY	$0.99 		3.284
00004845903840	BLUEBERRY MUFFINS 4 PK	BAKERY	BAKERY	$1.50 		3.284
00007343500201	KH SAVORY BUTTER ROLLS	BAKERY	BAKERY	$3.49 		3.284
00007987940058	OLS ANGEL FOOD LOAF	BAKERY	BAKERY	$3.99 		3.284
00020555200000	BAGUETTE BREAD	BAKERY	BAKERY	$0.99 		3.284
00020556500000	CINN APPLE BREAD	BAKERY	BAKERY	$3.99 		3.284
00020597800000	CINNAMON PULLAPART	BAKERY	BAKERY	$1.99 		3.284
00020760500000	ENGLISH MUFFIN	BAKERY	BAKERY	$1.29 		3.284
00020761900000	ITALIAN BREAD	BAKERY	BAKERY	$1.19 		3.284
00020765000000	SOURDOUGH BOULE	BAKERY	BAKERY	$1.99 		3.284
00020765200000	SOUR DOUGH BREAD	BAKERY	BAKERY	$1.99 		3.284
00020766500000	WHEAT BREAD	BAKERY	BAKERY	$1.99 		3.284
00020767000000	FRENCH BREAD	BAKERY	BAKERY	$1.59 		3.284
00020771700000	BUTTER FLAKE ROLLS	BAKERY	BAKERY	$3.29 		3.284
00020771900000	CHEESE ROLLS	BAKERY	BAKERY	$3.29 		3.284
00020773300000	HARD ROLLS	BAKERY	BAKERY	$2.99 		3.284
00020773400000	HOAGIE ROLLS	BAKERY	BAKERY	$1.59 		3.284
00020780400000	CHEESECAKE SLICE	BAKERY	BAKERY	$2.99 		3.284
00020790100000	POPPYSEED CAKE SLICE	BAKERY	BAKERY	$2.99 		3.284
00020791800000	CHOC CARAMEL CAKE SLICE	BAKERY	BAKERY	$2.99 		3.284
00020792100000	CARAMEL CHOC DRIZZLE CAKE	BAKERY	BAKERY	$5.99 		3.284
00020969100000	OATMEAL CHOC CHIP COOKIES	BAKERY	BAKERY	$3.99 		3.284
00020969200000	CHOC CHIP COOKIES	BAKERY	BAKERY	$0.99 		3.284
00020971200000	BROWNIES	BAKERY	BAKERY	$4.99 		3.284
00020973900000	COFFEE CAKE	BAKERY	BAKERY	$3.99 		3.284
00020988800000	OLD FASHIONED DONUTS	BAKERY	BAKERY	$2.99 		3.284
00020992000000	HONEY BRAN MUFFINS	BAKERY	BAKERY	$4.49 		3.284
00020994400000	ASSORTED MUFFINS	BAKERY	BAKERY	$4.49 		3.284
00020996300000	COCONUT CREAM PIE	BAKERY	BAKERY	$6.99 		3.284
00020999400000	CHOCOLATE CREAM PIE	BAKERY	BAKERY	$3.49 		3.284
00020999500000	APPLE PIE	BAKERY	BAKERY	$5.99 		3.284
00064583004601	MARSEE OLIVE PUGLIESE ROUND	BAKERY	BAKERY	$2.29 		3.284
00064583020180	MARSEE CHALLAH	BAKERY	BAKERY	$4.69 		3.284
00064583031006	MARSEE TRPL CHEESE BAGEL	BAKERY	BAKERY	$3.99 		3.284
00070173005010	MB ASST MINI DANISH	BAKERY	BAKERY	$4.49 		3.284
00070897111802	L/H GINGERSNAP	BAKERY	BAKERY	$4.49 		3.284
00071117501002	CLASSIC MOONSTRUCK 2 CT	BAKERY	BAKERY	$5.00 		3.284
00071117521088	MNSTRK DRK CHOC BAR	BAKERY	BAKERY	$3.50 		3.284
00078142100127	LA BREA FRNCH DEMI BGTTE	BAKERY	BAKERY	$1.19 		3.284
00078142100172	LA BREA SDED FRNCH DEMI-B	BAKERY	BAKERY	$1.19 		3.284
00078142100184	LA BREA FRENCH BAGUETTE	BAKERY	BAKERY	$2.49 		3.284
00078142100190	LA BREA ITALIAN ROUND	BAKERY	BAKERY	$4.49 		3.284
00078142100205	LA BREA CTRY WH SRDGH OVL	BAKERY	BAKERY	$3.99 		3.284
00078142100225	LA BREA OLIVE OVAL	BAKERY	BAKERY	$5.49 		3.284
