Trip_ID	LengthInFeet	DurationInSeconds	TotalAverageSpeed
18133639_2008-05-03 12:13:29.000:	2798.66	2184	1.28144
18133676_2008-05-03 12:13:36.000:	1400.18	813	1.72224
18133410_2008-05-03 12:20:55.000:	2916.07	1623	1.79672
18133750_2008-05-03 12:25:55.000:	1750.93	987	1.77399
18133607_2008-05-03 12:29:34.000:	1654.55	920	1.79843
18133638_2008-05-03 12:31:08.000:	4567.53	3713	1.23015
18133169_2008-05-03 12:35:38.000:	1586.73	904	1.75523
18133926_2008-05-03 12:39:03.000:	3927.48	2227	1.76357
18132914_2008-05-03 12:43:54.000:	1932.42	1248	1.54841
18133406_2008-05-03 12:47:52.000:	2657.92	1458	1.82299
18133757_2008-05-03 12:50:22.000:	3713.74	3042	1.22082
18133417_2008-05-03 12:50:35.000:	1485.65	727	2.04354
18133412_2008-05-03 12:52:43.000:	1065.29	595	1.7904
18133639_2008-05-03 12:55:55.000:	1633.1	1108	1.47391
18133899_2008-05-03 12:56:16.000:	2090.34	1444	1.4476
18133859_2008-05-03 12:57:25.000:	1552.62	1159	1.33962
18133749_2008-05-03 13:15:32.000:	972.337	437	2.22503
18133549_2008-05-03 13:20:16.000:	862.751	554	1.55731
18133169_2008-05-03 13:28:21.000:	2689.31	1782	1.50915
18133766_2008-05-03 13:30:50.000:	1900.37	1448	1.31241
18133676_2008-05-03 13:36:54.000:	1622.46	940	1.72602
18133736_2008-05-03 13:39:49.000:	1524.33	836	1.82337
18133638_2008-05-03 13:52:08.000:	1010.77	503	2.00949
18133610_2008-05-03 13:53:35.000:	1232.9	691	1.78423
18133750_2008-05-03 13:58:04.000:	1191.01	1016	1.17226
18133926_2008-05-03 14:00:43.000:	1889.91	895	2.11163
18133859_2008-05-03 14:02:35.000:	3661.23	2661	1.37588
18133540_2008-05-03 14:03:44.000:	2329.4	1388	1.67824
18133410_2008-05-03 14:07:32.000:	2195.88	1597	1.375
18133676_2008-05-03 14:13:19.000:	1129.36	785	1.43867
18133653_2008-05-03 14:13:58.000:	1801.79	1123	1.60444
18133522_2008-05-03 14:14:42.000:	2587.24	2166	1.19448
